id,public_id,company_id,lh_id,profile_url,name,logo,type,phone,website,tagline,staff_count,staff_count_range_start,staff_count_range_end,follower_count,description,founded_on,headquarter_country,headquarter_city,headquarter_province,headquarter_line1,headquarter_line2,headquarter_postal_code,industries,specialities,tags
jiangsu-hengrui-medicine-co-ltd-,jiangsu-hengrui-medicine-co-ltd-,3997932,1,https://www.linkedin.com/company/jiangsu-hengrui-medicine-co-ltd-/,"Jiangsu Hengrui Medicine  Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C510BAQHY-UMOqx_tIQ/company-logo_400_400/0/1583290688531?e=1621468800&v=beta&t=RF9tsYNS3Oew6Spgg4u3xYjtNV6-uv4x5yFW67iLusw,PUBLIC_COMPANY,,http://www.hrs.com.cn,"Scientific research oriented, creating  a healthy life!",3269,10001,,13083,"Hengrui Medicine is a leading pharmaceutical company based in China with a focus on research, development, manufacturing, and commercialization of innovative and high-quality healthcare products. Hengrui was established in 1970 and listed in Shanghai Stock Exchange in 2000. The company ranks top 30 worldwide in pharmaceuticals industry by a market capitalization of over 50 billion USD, and has more than 25,000 employees worldwide. Hengrui not only stands out as a front-runner in cancer drugs, contrast agents, and surgical medicines, but is also a lead member of the National Anti-Tumor Medicine Technology Innovation Industry-Education-Research Alliance. Hengrui owns a National Targeted Drug Engineering Technology Research Center, and a post-doctoral research station. In May 2018, Hengrui Medicine was listed in Forbes’s top 100 world’s most innovative companies and ranked the 64th, where only 7 companies from China were on the list.",1970,CN,Lianyungang,JS,"No.7 Kunlunshan Road, Lianyungang Eco & Tech Development Zone",,222047,Pharmaceuticals,"Pharmaceutical research and development, production, sales, anti-tumor drugs, surgical drugs, contrast agents, specialty infusions",
celltrionhealthcare,celltrionhealthcare,6168379,2,https://www.linkedin.com/company/celltrionhealthcare/,"Celltrion Healthcare Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C4E0BAQFyUzuotMg9ew/company-logo_400_400/0/1519867153499?e=1621468800&v=beta&t=-OrFISKzNwffCJPg-5EYmqoWqjDj--EV0L4_NKPmDxQ,PUBLIC_COMPANY,,http://www.celltrionhealthcare.com,"We transform ""Possibility""​ into ""Possible""​",246,51,200,26211,"Celltrion Healthcare conducts worldwide marketing, sales, and distribution of biological medicines through an extensive global network that spans more than 120 different countries. Celltrion Healthcare provides REMSIMA, the world's first biosimilar monoclonal antibody (mAb) approved by the European Medicines Agency (EMA) for the treatment of autoimmune disease, and innovative biopharmaceutical medications to help increase patient access to advanced therapies around the world.",1999,KR,Incheon,,"4F, 19, Academy-ro 51, Yeonsu-gu, Incheon, Korea 22014",,406-081,Pharmaceuticals,autoimmune disease,
microport-lifescience-co--ltd,microport-lifescience-co--ltd,327615,3,https://www.linkedin.com/company/microport-lifescience-co--ltd/,"Shanghai MicroPort Medical (Group) Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C510BAQFIe33MPesdZg/company-logo_400_400/0/1525701999045?e=1621468800&v=beta&t=318YUGlFjR4cVkYYIo1ik9LOi5Nggs0cxii5tuwrTes,PUBLIC_COMPANY,,http://www.microport.com.cn,"MicroPort®, a company that incubates listed companies, develops innovation products and capable talents",635,5001,10000,12352,"MicroPort Scientific Corporation can trace its origin back to 1998 to a small office at ZJ Hi-Tech Park, Shanghai China where a group of dedicated individuals joined together with a common belief that advancements in medical technology could transform and enhance the patients'​ well-being not just in China but globally. During the past decades, the pioneers of MicroPort® have devoted themselves to this mission of advancing the forefront of technology innovation to develop the best and most affordable medical therapies to treat patients around the globe.  Through years of growth and innovation, MicroPort® has become a premier medical solution provider covering 10 major medical disciplines including interventional cardiology, orthopedics, interventional radiology, electrophysiology, diabetes and endocrine management, surgical management, and others. With over 200 products currently approved for use in over 5,000 hospitals worldwide, MicroPort® is contributing to a better world through its life-saving medical therapies and quality-improving care devices being used in patients every 12 seconds.  With a large global footprint of R&D and manufacturing facilities (Shanghai, Jiangsu, Zhejiang, Beijing, Shenzhen in China, and Memphis, TN in the United States), a strong focus on technology innovation with over 3,000 issued patents, and a global workforce of over 4,500 employees, MicroPort® is committed to its vision of being a patient oriented company capable of leading the future of minimally invasive healthcare and other emerging technologies.",1998,CN,Shanghai,SH,"No. 1601, Zhangdong Rd., Pudong, Zhangjiang",,201203,Medical Device,"cardiology, orthopedics, interventional radiology, electrophysiology, diabetes, endocrine management, surgical management",
Shanghai-pharmaceuticals-holding-co-ltd-,Shanghai-pharmaceuticals-holding-co-ltd-,3995425,4,https://www.linkedin.com/company/Shanghai-pharmaceuticals-holding-co-ltd-/,"Shang hai Pharmaceuticals Holding Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C510BAQHOQmfXfDyDlQ/company-logo_400_400/0/1519882851581?e=1621468800&v=beta&t=_j3Ys-88qTKNc70mQHVf1ECjnAv7Wi45ayrgcPkTQVo,PUBLIC_COMPANY,,,,349,10001,,7846,"Shanghai Pharmaceuticals Holding Co. Ltd. (“SPH”) is a vertically-integrated and diversified pharmaceutical group. The company has dual listings on the stock exchanges in Shanghai (601607) and Hong Kong (02067) respectively. The company provides leading healthcare services in: Research & Development, Manufacturing, Distribution and Retail.    In 2019, SPH reported revenues of US$26.5bn, making the company one of the country’s major forces in the industry. SPH is one of the few listed pharmaceutical companies with a leading position in both manufacturing and distribution in China. It is included in the constituent stocks of the SSE 180, CSI 300 indices and MSCI.",,CN,Shanghai,SH,Shanghai Pharmaceutical Mansion No.200 Taicang Road,,200020,Pharmaceuticals,,
Nanjing-perlove-medical-equipment-co-ltd,Nanjing-perlove-medical-equipment-co-ltd,2601440,5,https://www.linkedin.com/company/Nanjing-perlove-medical-equipment-co-ltd/,"Perlove Medical Equipment Co.,ltd",https://media-exp1.licdn.com/dms/image/C560BAQFYBz9LVQwnqg/company-logo_400_400/0/1604545589354?e=1621468800&v=beta&t=0UXZ7LFacsElU2_q7Lp0WocwpOUzQfbRMOBzOBjnFPo,PUBLIC_COMPANY,,http://www.perlove.com.cn/,Perlove---World of Love (Striving For Medical Tech.),125,1001,5000,2322,"Nanjing Perlove Medical Equipment Co., Ltd. was founded in 2003, which is a high-tech company featured with imaging equipment R&D, production, sales and after-sales service. Headquartered in Nanjing, the sales network spread all over the world and the products are widely exported to five continents, more than 183 countries and regions.",2003,CN,Nanjing,JS,"No.97, Wangxi Road, Jiangning District, Nanjing",,211121,Medical Device,"x ray machine,Medical equipment,Imaging systems,C arm,radiography,DR",
tci-co-ltd,tci-co-ltd,10169887,6,https://www.linkedin.com/company/tci-co-ltd/,"TCI Co.,Ltd. ",https://media-exp1.licdn.com/dms/image/C4D0BAQHIJ2J4BXX_XA/company-logo_400_400/0/1519952435828?e=1621468800&v=beta&t=TQqn_xOgkh0ujmE0A19cbaC14OBb0XVk6sof05fPs38,PUBLIC_COMPANY,,https://www.tci-bio.com/,Join & Delight Consumer's Life!,225,1001,5000,5498,"TCI is a leading bio-tech company in Taiwan, adopting the concept of Integrated Bioscience Design (IBD) to serve our clients. We manufacture high-performance products, such as nutrient foods (i.e., functional drinks, jellies, powders, tablets and capsules) and skin care products (i.e., biocellulose facial masks and essence concentrates).  So far, our products have been sold to 54 countries in the world. With our outstanding research results, we were featured in the Discovery Exclusive Interview.  Our Main Products / Service TCI’s concept of Integrated Bioscience Design (IBD) is inspired by consumer demand where we integrate professional multi-disciplinary knowledge and technology. They include: Chemistry, biology, mathematics, industrial engineering, genetic aesthetics, human factor engineering, applied materials and science and consumer behavior. We study and explore consumer needs in anti-aging, vivo environmental protection, postpartum care and male health from the market, and we endeavor accordingly to develop innovative products to improve consumer’s life.  Employee Benefits We offer competitive salary based on the qualifications and experience employee’s competency. Furthermore, we take pride in offering a comprehensive and competitive benefits package as follows: ● Bonuses: year-end bonuses, performance bonuses, bonuses for special contributions  ● Insurance Benefits: labor health insurance, travel insurance and those as required by laws ● Recreational Benefits: society activities, company trips, birthday parties and Christmas party, department dinners ● Other Benefits: TCI MVP, TCI coins, Oneiromancy plans  Please visit the link below to answer the pre-interview questions so that we can know you more before the interview: https://app.hrda.pro/interview/shorten/1Pwz4n  Contact Us: TEL: +886-2-8797-7811 Email: tci@tci-bio.com http://www.tci-bio.com/",1980,TW,Taipei,,"8F, No. 187, Kang Chien Road, NeiHu District",,114,Biotechnology,"Functional Drinks,Bio-Cellulose Masks,Health Supplements,Sheet Mask,Skin Care Manufacturer,Nutraceutical & Cosmeceutical Products,Skin Care Products,Beauty Supplements,Collagen,Private Label",
diruiglobal,diruiglobal,14429189,7,https://www.linkedin.com/company/diruiglobal/,"DIRUI Inustrial Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C4E0BAQGq1ntznJ6KBQ/company-logo_400_400/0/1607686053512?e=1621468800&v=beta&t=46uG3AJrjkCRoR9J-VPY4JaVl5-yYMrv6FqoDAXnJ2Q,PUBLIC_COMPANY,,http://www.dirui.com.cn/en,"Dirui, A Partner for Life.",132,1001,5000,2073,"Since established in 1992, DIRUI has always been dedicated to R&D, manufacturing and sales of high quality diagnostic equipment and reagents, covering clinical chemistry, urinalysis, hematology, vaginal infections analysis, immunoassay and coagulation.",1992,CN,Changchun,JL,"3333, Yiju Road, Hi-tech Development Dist., Changchun 130012, PRC",,130103,Medical Device,"IVD manufacturer, urinalysis, hematology, vaginal infections analysis, immunoassay and coagulation.",
careray-digital-medical-system-co-ltd-,careray-digital-medical-system-co-ltd-,6006724,8,https://www.linkedin.com/company/careray-digital-medical-system-co-ltd-/,"Careray Digital Medical Technology Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C560BAQGkok4jrlpp4g/company-logo_400_400/0/1593414089975?e=1621468800&v=beta&t=1FnGYv3pQz3HjVXPVzYH6kAFhoL0BaD7Vk2c76q9FvI,PUBLIC_COMPANY,0512-86860288,http://www.careray.com,,32,51,200,1699,"When CareRay was established in 2007, we decided to take a bold first step for the best possible customer care. We developed our own sophisticated technology for building low-dose Cesium scintillators. This advanced direct-deposit technology would be combined with our own patented signal processing methods and state-of-the-art electronic components to produce high resolution digital X-ray imaging products that also offer the best in low patient exposure. In 2011, our company successfully released China’s first commercially available direct-deposit CsI flat panel detector. Over a decade later, we are still advancing the global industry of diagnostic imaging, continually building new ways to improve the standard of healthcare worldwide. CareRay’s founders have an ethical commitment to developing exemplary products that deliver highest quality performance; long-lasting detectors that are the result of careful research and rigorous production standards. This conscientious manufacturing yields world-class results that are optimally efficient and accessible. Our commitment to low impact care applies to patients, operators, and the world at large. CareRay flat panel detectors are durable and adaptable, compatible with both single phase and high-frequency generators. We strive to apply the principles of low impact design, waste reduction, and sustainability to all aspects of our daily operation and long-term development. CareRay’s elite R&D team has registered over a dozen significant technological patents since the company’s founding. We are committed to engineering excellence, and our research into the physics of digital radiography has allowed us to provide optimized diagnostic solutions that reshape common beliefs about X-ray imaging. Our team remains dedicated to excellence and constant innovation in the field of diagnostic imaging. We are excited about the future as we continue to advance the field.",2007,CN,Suzhou,JS,"5F, Building B3, Biobay,","SIP,",215123,Medical Device,"A-Si Flat Panel Detector,CsI Direct Depostition Technology,Key Component of X-ray imaging System,X-ray System Integration & Upgrading Solutions",
dmedglobal,dmedglobal,13240024,9,https://www.linkedin.com/company/dmedglobal/,"dMed Biopharmaceutical Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C560BAQEbK9JhupqX0Q/company-logo_400_400/0/1556004928059?e=1621468800&v=beta&t=_BAivyTT0JwyN4yscDxtwN1DvottrWIfc98RtxFz01w,PRIVATELY_HELD,,http://www.dmedglobal.com,Increase the probability of your products'​ success.,196,501,1000,1243,"About dMed dMed is a full-service Clinical Contract Research Organization (CRO), which provides industry solutions to pharmaceutical and medical device companies in China and across the globe. dMed is led by experts in China and the US who originated from leading multinational pharma companies and regulatory agencies. We are uniquely positioned to leverage and integrate China’s new regulatory framework, offer innovative drug development strategies, and help our clients expand globally by tapping into the world’s second largest pharmaceutical market. Our creative and flexible collaboration models will help Chinese and global innovative pharma companies effectively raise efficiency in clinical R&D, scientifically shorten research cycle, and boost success rate.  Our business covers consulting, early development & clinical pharmacology, clinical operations, biostatistics & programming, data management, drug safety & pharmacovigilance, clinical science & medical affairs, quality assurance, regulatory affairs and strategy.  dMed has set up offices in major cities, including Shanghai, Beijing, Wuhan, New York, Washington, San Francisco, and Brussels, and it employs more than 600 professionals globally, among them 60% holds master above degree and 20% with more than 10 years working experiences.",2016,CN,Shanghai,SH,"298 Xiangke Road, 3/F, 301-305，Zhangjiang Hi-Tech Park, Pudong, Shanghai 201210, China",,201210,Pharmaceuticals,"Strategic Consultation,Clinical Operations,Biostatistics & Programming,Clinical Sciences & Medical Affairs,Drug Safety & Pharmacovigilance,Regulatory Affairs & Strategy ,Quality Assurance and Audit,Data Management,Training",
sinovac-biotech-ltd.,sinovac-biotech-ltd.,1222756,11,https://www.linkedin.com/company/sinovac-biotech-ltd./,"Sinovac Biotech Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C4E0BAQFXsvFjE9cg_Q/company-logo_400_400/0/1519901259227?e=1621468800&v=beta&t=hniwzR_iGDQTVD_iiy9G8sAWa2ZbRYJLxLUik05qGZw,PUBLIC_COMPANY,,http://www.sinovac.com,,64,501,1000,2836,"Sinovac Biotech Ltd. is a China-based biopharmaceutical company that focuses on research, development, manufacturing and commercialization of vaccines that protect against human infectious diseases including hepatitis A and B, seasonal influenza, H5N1 pandemic influenza (avian flu), H1N1 influenza (swine flu), and mumps, as well as animal rabies vaccine for canines.  In 2009, Sinovac was the first company worldwide to receive approval for its H1N1 influenza vaccine, Panflu.1, and has manufactured it for the Chinese Central Government, pursuant to the government-stockpiling program.  The company is also the only supplier of the H5N1 pandemic influenza vaccine to the government-stockpiling program.  Sinovac is developing a number of new pipeline vaccines including vaccines for enterovirus 71 (against hand, foot, and mouth disease), of which the EV71 vaccine is currently in Phase III clinical trials, pneumococcal conjugate, pneumococcal polysaccharides, and rubella.  Sinovac sells its vaccines mainly in China and exports selected vaccines to Mongolia, Nepal, and the Philippines.",2001,CN,Beijing,BJ,"No.39 Shangdi West Road, Haidian District",,100085,Biotechnology,"Influenza Vaccines,Inactivated Hepatitis A Vaccine,Hepatitis A+B Vaccine,EV71 Vaccine",
