company_id,No.,profile_url,name,type,website,staff_count,follower_count,description,found_yr,HQ,city,province,industries,specialities,company_name,age_of_company,spec_len,certification_by,desc_len
3997932,1,https://www.linkedin.com/company/jiangsu-hengrui-medicine-co-ltd-/,"Jiangsu Hengrui Medicine  Co.,Ltd.",PUBLIC_COMPANY,http://www.hrs.com.cn,3269,13083,"Hengrui Medicine is a leading pharmaceutical company based in China with a focus on research, development, manufacturing, and commercialization of innovative and high-quality healthcare products. Hengrui was established in 1970 and listed in Shanghai Stock Exchange in 2000. The company ranks top 30 worldwide in pharmaceuticals industry by a market capitalization of over 50 billion USD, and has more than 25,000 employees worldwide. Hengrui not only stands out as a front-runner in cancer drugs, contrast agents, and surgical medicines, but is also a lead member of the National Anti-Tumor Medicine Technology Innovation Industry-Education-Research Alliance. Hengrui owns a National Targeted Drug Engineering Technology Research Center, and a post-doctoral research station. In May 2018, Hengrui Medicine was listed in Forbes’s top 100 world’s most innovative companies and ranked the 64th, where only 7 companies from China were on the list.",1970,CN,Lianyungang,JS,Pharmaceuticals,"Pharmaceutical research and development, production, sales, anti-tumor drugs, surgical drugs, contrast agents, specialty infusions",hengrui medicine  ,51,130,n/a,944
6168379,2,https://www.linkedin.com/company/celltrionhealthcare/,"Celltrion Healthcare Co.,Ltd.",PUBLIC_COMPANY,http://www.celltrionhealthcare.com,246,26211,"Celltrion Healthcare conducts worldwide marketing, sales, and distribution of biological medicines through an extensive global network that spans more than 120 different countries. Celltrion Healthcare provides REMSIMA, the world's first biosimilar monoclonal antibody (mAb) approved by the European Medicines Agency (EMA) for the treatment of autoimmune disease, and innovative biopharmaceutical medications to help increase patient access to advanced therapies around the world.",1999,KR,Incheon,JS,Pharmaceuticals,autoimmune disease,celltrion healthcare ,22,18,EMA,480
327615,3,https://www.linkedin.com/company/microport-lifescience-co--ltd/,"Shanghai MicroPort Medical (Group) Co.,Ltd.",PUBLIC_COMPANY,http://www.microport.com.cn,635,12352,"MicroPort Scientific Corporation can trace its origin back to 1998 to a small office at ZJ Hi-Tech Park, Shanghai China where a group of dedicated individuals joined together with a common belief that advancements in medical technology could transform and enhance the patients'​ well-being not just in China but globally. During the past decades, the pioneers of MicroPort® have devoted themselves to this mission of advancing the forefront of technology innovation to develop the best and most affordable medical therapies to treat patients around the globe.  Through years of growth and innovation, MicroPort® has become a premier medical solution provider covering 10 major medical disciplines including interventional cardiology, orthopedics, interventional radiology, electrophysiology, diabetes and endocrine management, surgical management, and others. With over 200 products currently approved for use in over 5,000 hospitals worldwide, MicroPort® is contributing to a better world through its life-saving medical therapies and quality-improving care devices being used in patients every 12 seconds.  With a large global footprint of R&D and manufacturing facilities (Shanghai, Jiangsu, Zhejiang, Beijing, Shenzhen in China, and Memphis, TN in the United States), a strong focus on technology innovation with over 3,000 issued patents, and a global workforce of over 4,500 employees, MicroPort® is committed to its vision of being a patient oriented company capable of leading the future of minimally invasive healthcare and other emerging technologies.",1998,CN,Shanghai,SH,Medical Device,"cardiology, orthopedics, interventional radiology, electrophysiology, diabetes, endocrine management, surgical management",microport medical (group) ,23,121,n/a,1561
3995425,4,https://www.linkedin.com/company/Shanghai-pharmaceuticals-holding-co-ltd-/,"Shang hai Pharmaceuticals Holding Co.,Ltd.",PUBLIC_COMPANY,http://www.microport.com.cn,349,7846,"Shanghai Pharmaceuticals Holding Co. Ltd. (“SPH”) is a vertically-integrated and diversified pharmaceutical group. The company has dual listings on the stock exchanges in Shanghai (601607) and Hong Kong (02067) respectively. The company provides leading healthcare services in: Research & Development, Manufacturing, Distribution and Retail.    In 2019, SPH reported revenues of US$26.5bn, making the company one of the country’s major forces in the industry. SPH is one of the few listed pharmaceutical companies with a leading position in both manufacturing and distribution in China. It is included in the constituent stocks of the SSE 180, CSI 300 indices and MSCI.",1998,CN,Shanghai,SH,Pharmaceuticals,null,shang hai pharmaceuticals holding ,23,4,n/a,669
2601440,5,https://www.linkedin.com/company/Nanjing-perlove-medical-equipment-co-ltd/,"Perlove Medical Equipment Co.,ltd",PUBLIC_COMPANY,http://www.perlove.com.cn/,125,2322,"Nanjing Perlove Medical Equipment Co., Ltd. was founded in 2003, which is a high-tech company featured with imaging equipment R&D, production, sales and after-sales service. Headquartered in Nanjing, the sales network spread all over the world and the products are widely exported to five continents, more than 183 countries and regions.",2003,CN,Nanjing,JS,Medical Device,"x ray machine,Medical equipment,Imaging systems,C arm,radiography,DR",perlove medical equipment ,18,68,n/a,337
10169887,6,https://www.linkedin.com/company/tci-co-ltd/,"TCI Co.,Ltd. ",PUBLIC_COMPANY,https://www.tci-bio.com/,225,5498,"TCI is a leading bio-tech company in Taiwan, adopting the concept of Integrated Bioscience Design (IBD) to serve our clients. We manufacture high-performance products, such as nutrient foods (i.e., functional drinks, jellies, powders, tablets and capsules) and skin care products (i.e., biocellulose facial masks and essence concentrates).  So far, our products have been sold to 54 countries in the world. With our outstanding research results, we were featured in the Discovery Exclusive Interview.  Our Main Products / Service TCI’s concept of Integrated Bioscience Design (IBD) is inspired by consumer demand where we integrate professional multi-disciplinary knowledge and technology. They include: Chemistry, biology, mathematics, industrial engineering, genetic aesthetics, human factor engineering, applied materials and science and consumer behavior. We study and explore consumer needs in anti-aging, vivo environmental protection, postpartum care and male health from the market, and we endeavor accordingly to develop innovative products to improve consumer’s life.  Employee Benefits We offer competitive salary based on the qualifications and experience employee’s competency. Furthermore, we take pride in offering a comprehensive and competitive benefits package as follows: ● Bonuses: year-end bonuses, performance bonuses, bonuses for special contributions  ● Insurance Benefits: labor health insurance, travel insurance and those as required by laws ● Recreational Benefits: society activities, company trips, birthday parties and Christmas party, department dinners ● Other Benefits: TCI MVP, TCI coins, Oneiromancy plans  Please visit the link below to answer the pre-interview questions so that we can know you more before the interview: https://app.hrda.pro/interview/shorten/1Pwz4n  Contact Us: TEL: +886-2-8797-7811 Email: tci@tci-bio.com http://www.tci-bio.com/",1980,TW,Taipei,JS,Biotechnology,"Functional Drinks,Bio-Cellulose Masks,Health Supplements,Sheet Mask,Skin Care Manufacturer,Nutraceutical & Cosmeceutical Products,Skin Care Products,Beauty Supplements,Collagen,Private Label",tci  ,41,190,n/a,1887
14429189,7,https://www.linkedin.com/company/diruiglobal/,"DIRUI Inustrial Co.,Ltd.",PUBLIC_COMPANY,http://www.dirui.com.cn/en,132,2073,"Since established in 1992, DIRUI has always been dedicated to R&D, manufacturing and sales of high quality diagnostic equipment and reagents, covering clinical chemistry, urinalysis, hematology, vaginal infections analysis, immunoassay and coagulation.",1992,CN,Changchun,JL,Medical Device,"IVD manufacturer, urinalysis, hematology, vaginal infections analysis, immunoassay and coagulation.",dirui inustrial ,29,99,n/a,252
6006724,8,https://www.linkedin.com/company/careray-digital-medical-system-co-ltd-/,"Careray Digital Medical Technology Co.,Ltd.",PUBLIC_COMPANY,http://www.careray.com,32,1699,"When CareRay was established in 2007, we decided to take a bold first step for the best possible customer care. We developed our own sophisticated technology for building low-dose Cesium scintillators. This advanced direct-deposit technology would be combined with our own patented signal processing methods and state-of-the-art electronic components to produce high resolution digital X-ray imaging products that also offer the best in low patient exposure. In 2011, our company successfully released China’s first commercially available direct-deposit CsI flat panel detector. Over a decade later, we are still advancing the global industry of diagnostic imaging, continually building new ways to improve the standard of healthcare worldwide. CareRay’s founders have an ethical commitment to developing exemplary products that deliver highest quality performance; long-lasting detectors that are the result of careful research and rigorous production standards. This conscientious manufacturing yields world-class results that are optimally efficient and accessible. Our commitment to low impact care applies to patients, operators, and the world at large. CareRay flat panel detectors are durable and adaptable, compatible with both single phase and high-frequency generators. We strive to apply the principles of low impact design, waste reduction, and sustainability to all aspects of our daily operation and long-term development. CareRay’s elite R&D team has registered over a dozen significant technological patents since the company’s founding. We are committed to engineering excellence, and our research into the physics of digital radiography has allowed us to provide optimized diagnostic solutions that reshape common beliefs about X-ray imaging. Our team remains dedicated to excellence and constant innovation in the field of diagnostic imaging. We are excited about the future as we continue to advance the field.",2007,CN,Suzhou,JS,Medical Device,"A-Si Flat Panel Detector,CsI Direct Depostition Technology,Key Component of X-ray imaging System,X-ray System Integration & Upgrading Solutions",careray digital medical technology ,14,143,n/a,1930
13240024,9,https://www.linkedin.com/company/dmedglobal/,"dMed Biopharmaceutical Co.,Ltd.",PRIVATELY_HELD,http://www.dmedglobal.com,196,1243,"About dMed dMed is a full-service Clinical Contract Research Organization (CRO), which provides industry solutions to pharmaceutical and medical device companies in China and across the globe. dMed is led by experts in China and the US who originated from leading multinational pharma companies and regulatory agencies. We are uniquely positioned to leverage and integrate China’s new regulatory framework, offer innovative drug development strategies, and help our clients expand globally by tapping into the world’s second largest pharmaceutical market. Our creative and flexible collaboration models will help Chinese and global innovative pharma companies effectively raise efficiency in clinical R&D, scientifically shorten research cycle, and boost success rate.  Our business covers consulting, early development & clinical pharmacology, clinical operations, biostatistics & programming, data management, drug safety & pharmacovigilance, clinical science & medical affairs, quality assurance, regulatory affairs and strategy.  dMed has set up offices in major cities, including Shanghai, Beijing, Wuhan, New York, Washington, San Francisco, and Brussels, and it employs more than 600 professionals globally, among them 60% holds master above degree and 20% with more than 10 years working experiences.",2016,CN,Shanghai,SH,Pharmaceuticals,"Strategic Consultation,Clinical Operations,Biostatistics & Programming,Clinical Sciences & Medical Affairs,Drug Safety & Pharmacovigilance,Regulatory Affairs & Strategy ,Quality Assurance and Audit,Data Management,Training",dmed biopharmaceutical ,5,222,n/a,1308
1222756,11,https://www.linkedin.com/company/sinovac-biotech-ltd./,"Sinovac Biotech Co.,Ltd.",PUBLIC_COMPANY,http://www.sinovac.com,64,2836,"Sinovac Biotech Ltd. is a China-based biopharmaceutical company that focuses on research, development, manufacturing and commercialization of vaccines that protect against human infectious diseases including hepatitis A and B, seasonal influenza, H5N1 pandemic influenza (avian flu), H1N1 influenza (swine flu), and mumps, as well as animal rabies vaccine for canines.  In 2009, Sinovac was the first company worldwide to receive approval for its H1N1 influenza vaccine, Panflu.1, and has manufactured it for the Chinese Central Government, pursuant to the government-stockpiling program.  The company is also the only supplier of the H5N1 pandemic influenza vaccine to the government-stockpiling program.  Sinovac is developing a number of new pipeline vaccines including vaccines for enterovirus 71 (against hand, foot, and mouth disease), of which the EV71 vaccine is currently in Phase III clinical trials, pneumococcal conjugate, pneumococcal polysaccharides, and rubella.  Sinovac sells its vaccines mainly in China and exports selected vaccines to Mongolia, Nepal, and the Philippines.",2001,CN,Beijing,BJ,Biotechnology,"Influenza Vaccines,Inactivated Hepatitis A Vaccine,Hepatitis A+B Vaccine,EV71 Vaccine",sinovac biotech ,20,85,n/a,1092
