company_id,No.,profile_url,name,type,website,staff_count,follower_count,description,found_yr,HQ,city,province,industries,specialities,company_name,age_of_company,therapeutic_area
3997932,1,https://www.linkedin.com/company/jiangsu-hengrui-medicine-co-ltd-/,"Jiangsu Hengrui Medicine  Co.,Ltd.",PUBLIC_COMPANY,http://www.hrs.com.cn,3269,13083,"Hengrui Medicine is a leading pharmaceutical company based in China with a focus on research, development, manufacturing, and commercialization of innovative and high-quality healthcare products. Hengrui was established in 1970 and listed in Shanghai Stock Exchange in 2000. The company ranks top 30 worldwide in pharmaceuticals industry by a market capitalization of over 50 billion USD, and has more than 25,000 employees worldwide. Hengrui not only stands out as a front-runner in cancer drugs, contrast agents, and surgical medicines, but is also a lead member of the National Anti-Tumor Medicine Technology Innovation Industry-Education-Research Alliance. Hengrui owns a National Targeted Drug Engineering Technology Research Center, and a post-doctoral research station. In May 2018, Hengrui Medicine was listed in Forbes’s top 100 world’s most innovative companies and ranked the 64th, where only 7 companies from China were on the list.",1970,CN,Lianyungang,JS,Pharmaceuticals, anti-tumor drugs,hengrui medicine  ,51,oncology
6168379,2,https://www.linkedin.com/company/celltrionhealthcare/,"Celltrion Healthcare Co.,Ltd.",PUBLIC_COMPANY,http://www.celltrionhealthcare.com,246,26211,"Celltrion Healthcare conducts worldwide marketing, sales, and distribution of biological medicines through an extensive global network that spans more than 120 different countries. Celltrion Healthcare provides REMSIMA, the world's first biosimilar monoclonal antibody (mAb) approved by the European Medicines Agency (EMA) for the treatment of autoimmune disease, and innovative biopharmaceutical medications to help increase patient access to advanced therapies around the world.",1999,KR,Incheon,null,Pharmaceuticals,autoimmune disease,celltrion healthcare ,22,immunology
327615,3,https://www.linkedin.com/company/microport-lifescience-co--ltd/,"Shanghai MicroPort Medical (Group) Co.,Ltd.",PUBLIC_COMPANY,http://www.microport.com.cn,635,12352,"MicroPort Scientific Corporation can trace its origin back to 1998 to a small office at ZJ Hi-Tech Park, Shanghai China where a group of dedicated individuals joined together with a common belief that advancements in medical technology could transform and enhance the patients'​ well-being not just in China but globally. During the past decades, the pioneers of MicroPort® have devoted themselves to this mission of advancing the forefront of technology innovation to develop the best and most affordable medical therapies to treat patients around the globe.  Through years of growth and innovation, MicroPort® has become a premier medical solution provider covering 10 major medical disciplines including interventional cardiology, orthopedics, interventional radiology, electrophysiology, diabetes and endocrine management, surgical management, and others. With over 200 products currently approved for use in over 5,000 hospitals worldwide, MicroPort® is contributing to a better world through its life-saving medical therapies and quality-improving care devices being used in patients every 12 seconds.  With a large global footprint of R&D and manufacturing facilities (Shanghai, Jiangsu, Zhejiang, Beijing, Shenzhen in China, and Memphis, TN in the United States), a strong focus on technology innovation with over 3,000 issued patents, and a global workforce of over 4,500 employees, MicroPort® is committed to its vision of being a patient oriented company capable of leading the future of minimally invasive healthcare and other emerging technologies.",1998,CN,Shanghai,SH,Medical Device,cardiology,microport medical (group) ,23,cardiology
327615,3,https://www.linkedin.com/company/microport-lifescience-co--ltd/,"Shanghai MicroPort Medical (Group) Co.,Ltd.",PUBLIC_COMPANY,http://www.microport.com.cn,635,12352,"MicroPort Scientific Corporation can trace its origin back to 1998 to a small office at ZJ Hi-Tech Park, Shanghai China where a group of dedicated individuals joined together with a common belief that advancements in medical technology could transform and enhance the patients'​ well-being not just in China but globally. During the past decades, the pioneers of MicroPort® have devoted themselves to this mission of advancing the forefront of technology innovation to develop the best and most affordable medical therapies to treat patients around the globe.  Through years of growth and innovation, MicroPort® has become a premier medical solution provider covering 10 major medical disciplines including interventional cardiology, orthopedics, interventional radiology, electrophysiology, diabetes and endocrine management, surgical management, and others. With over 200 products currently approved for use in over 5,000 hospitals worldwide, MicroPort® is contributing to a better world through its life-saving medical therapies and quality-improving care devices being used in patients every 12 seconds.  With a large global footprint of R&D and manufacturing facilities (Shanghai, Jiangsu, Zhejiang, Beijing, Shenzhen in China, and Memphis, TN in the United States), a strong focus on technology innovation with over 3,000 issued patents, and a global workforce of over 4,500 employees, MicroPort® is committed to its vision of being a patient oriented company capable of leading the future of minimally invasive healthcare and other emerging technologies.",1998,CN,Shanghai,SH,Medical Device, orthopedics,microport medical (group) ,23,orthopedics
327615,3,https://www.linkedin.com/company/microport-lifescience-co--ltd/,"Shanghai MicroPort Medical (Group) Co.,Ltd.",PUBLIC_COMPANY,http://www.microport.com.cn,635,12352,"MicroPort Scientific Corporation can trace its origin back to 1998 to a small office at ZJ Hi-Tech Park, Shanghai China where a group of dedicated individuals joined together with a common belief that advancements in medical technology could transform and enhance the patients'​ well-being not just in China but globally. During the past decades, the pioneers of MicroPort® have devoted themselves to this mission of advancing the forefront of technology innovation to develop the best and most affordable medical therapies to treat patients around the globe.  Through years of growth and innovation, MicroPort® has become a premier medical solution provider covering 10 major medical disciplines including interventional cardiology, orthopedics, interventional radiology, electrophysiology, diabetes and endocrine management, surgical management, and others. With over 200 products currently approved for use in over 5,000 hospitals worldwide, MicroPort® is contributing to a better world through its life-saving medical therapies and quality-improving care devices being used in patients every 12 seconds.  With a large global footprint of R&D and manufacturing facilities (Shanghai, Jiangsu, Zhejiang, Beijing, Shenzhen in China, and Memphis, TN in the United States), a strong focus on technology innovation with over 3,000 issued patents, and a global workforce of over 4,500 employees, MicroPort® is committed to its vision of being a patient oriented company capable of leading the future of minimally invasive healthcare and other emerging technologies.",1998,CN,Shanghai,SH,Medical Device, diabetes,microport medical (group) ,23,diabetes
10169887,6,https://www.linkedin.com/company/tci-co-ltd/,"TCI Co.,Ltd. ",PUBLIC_COMPANY,https://www.tci-bio.com/,225,5498,"TCI is a leading bio-tech company in Taiwan, adopting the concept of Integrated Bioscience Design (IBD) to serve our clients. We manufacture high-performance products, such as nutrient foods (i.e., functional drinks, jellies, powders, tablets and capsules) and skin care products (i.e., biocellulose facial masks and essence concentrates).  So far, our products have been sold to 54 countries in the world. With our outstanding research results, we were featured in the Discovery Exclusive Interview.  Our Main Products / Service TCI’s concept of Integrated Bioscience Design (IBD) is inspired by consumer demand where we integrate professional multi-disciplinary knowledge and technology. They include: Chemistry, biology, mathematics, industrial engineering, genetic aesthetics, human factor engineering, applied materials and science and consumer behavior. We study and explore consumer needs in anti-aging, vivo environmental protection, postpartum care and male health from the market, and we endeavor accordingly to develop innovative products to improve consumer’s life.  Employee Benefits We offer competitive salary based on the qualifications and experience employee’s competency. Furthermore, we take pride in offering a comprehensive and competitive benefits package as follows: ● Bonuses: year-end bonuses, performance bonuses, bonuses for special contributions  ● Insurance Benefits: labor health insurance, travel insurance and those as required by laws ● Recreational Benefits: society activities, company trips, birthday parties and Christmas party, department dinners ● Other Benefits: TCI MVP, TCI coins, Oneiromancy plans  Please visit the link below to answer the pre-interview questions so that we can know you more before the interview: https://app.hrda.pro/interview/shorten/1Pwz4n  Contact Us: TEL: +886-2-8797-7811 Email: tci@tci-bio.com http://www.tci-bio.com/",1980,TW,Taipei,null,Biotechnology,Skin Care Products,tci  ,41,dermatology
14429189,7,https://www.linkedin.com/company/diruiglobal/,"DIRUI Inustrial Co.,Ltd.",PUBLIC_COMPANY,http://www.dirui.com.cn/en,132,2073,"Since established in 1992, DIRUI has always been dedicated to R&D, manufacturing and sales of high quality diagnostic equipment and reagents, covering clinical chemistry, urinalysis, hematology, vaginal infections analysis, immunoassay and coagulation.",1992,CN,Changchun,JL,Medical Device, urinalysis,dirui inustrial ,29,urology
14429189,7,https://www.linkedin.com/company/diruiglobal/,"DIRUI Inustrial Co.,Ltd.",PUBLIC_COMPANY,http://www.dirui.com.cn/en,132,2073,"Since established in 1992, DIRUI has always been dedicated to R&D, manufacturing and sales of high quality diagnostic equipment and reagents, covering clinical chemistry, urinalysis, hematology, vaginal infections analysis, immunoassay and coagulation.",1992,CN,Changchun,JL,Medical Device, hematology,dirui inustrial ,29,hematology
1222756,11,https://www.linkedin.com/company/sinovac-biotech-ltd./,"Sinovac Biotech Co.,Ltd.",PUBLIC_COMPANY,http://www.sinovac.com,64,2836,"Sinovac Biotech Ltd. is a China-based biopharmaceutical company that focuses on research, development, manufacturing and commercialization of vaccines that protect against human infectious diseases including hepatitis A and B, seasonal influenza, H5N1 pandemic influenza (avian flu), H1N1 influenza (swine flu), and mumps, as well as animal rabies vaccine for canines.  In 2009, Sinovac was the first company worldwide to receive approval for its H1N1 influenza vaccine, Panflu.1, and has manufactured it for the Chinese Central Government, pursuant to the government-stockpiling program.  The company is also the only supplier of the H5N1 pandemic influenza vaccine to the government-stockpiling program.  Sinovac is developing a number of new pipeline vaccines including vaccines for enterovirus 71 (against hand, foot, and mouth disease), of which the EV71 vaccine is currently in Phase III clinical trials, pneumococcal conjugate, pneumococcal polysaccharides, and rubella.  Sinovac sells its vaccines mainly in China and exports selected vaccines to Mongolia, Nepal, and the Philippines.",2001,CN,Beijing,BJ,Biotechnology,Influenza Vaccines,sinovac biotech ,20,immunology
1125406,14,https://www.linkedin.com/company/salubris-pharmaceuticals/,"Shenzhen Salubris Pharmaceuticals Co.,LTD",PUBLIC_COMPANY,http://www.salubris.cn,534,2830,"Salubris is a global integrated pharmaceutical group dedicated to the research, development, manufacture, marketing, distribution, and service of professional pharmaceutical and healthcare products to bring healthier and happier life to people worldwide through world-leading quality and innovations.   Shenzhen Salubris Pharmaceuticals Co., Ltd. is a professional pharmaceutical enterprise rooted in China and devoted to improving health worldwide. The company focuses on the newest generation of innovative and specialty medicine, and is an international organization possessing and continuously developing state-of-the-art technologies and products, and has been recognized as an advanced technology enterprise and innovative high-tech company.   The company has a team of high-caliber management, R&D, and marketing professionals. It has nationally approved modern GMP pharmaceutical manufacturing facilities, advanced equipment s and testing instruments, producing tablet, capsule, and injection formulations and active pharmaceutical ingredients, with subsidiary branches and marketing network throughout the country.",1998,CN,Shenzhen,GD,Pharmaceuticals,RX for Cardiovascular,salubris pharmaceuticals ,23,cardiology
